Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
12/07/2021,17:00:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:01:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:02:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:03:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:04:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:05:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:06:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:07:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:08:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:09:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:10:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:11:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:12:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:13:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:14:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:15:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:16:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:17:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:18:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:19:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:20:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:21:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:22:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:23:00,"0","4","15","0","0","0","0","60","0","15,52"
12/07/2021,17:24:00,"1","35","15","0","0","0","0","60","0","38,09"
12/07/2021,17:25:00,"23","289","32","2","0","0","0","60","0","291,67"
12/07/2021,17:26:00,"13","201","0","0","0","0","0","60","0","201,42"
12/07/2021,17:27:00,"7","17","5","0","0","0","0","60","0","19,05"
12/07/2021,17:28:00,"0","0","0","0","0","0","0","60","0","0"
12/07/2021,17:29:00,"0","0","0","0","0","0","0","60","0","0"
12/07/2021,17:30:00,"0","0","0","0","0","0","0","60","0","0"
12/07/2021,17:31:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:32:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:33:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:34:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:35:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:36:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:37:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:38:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:39:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:40:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:41:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:42:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:43:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:44:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:45:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:46:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:47:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:48:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:49:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:50:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:51:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:52:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:53:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:54:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:55:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:56:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:57:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:58:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,17:59:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:00:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:01:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:02:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:03:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:04:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:05:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:06:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:07:00,"0","0","0","0","0","60","0","0","0","0"
12/07/2021,18:08:00,"0","0","0","0","0","60","0","0","0","0"
